ticker,IHYG EU Equity,ITRXESE CBBT Curncy,IBOXUMAE CBBT Curncy,ERIXITSE Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,ERINCDHY Index,VIX Index,ITRXEBE CBBT Curncy,V2X Index,ERIXITEU Index,ITRXEXE CBBT Curncy,ERIXITXO Index,SPX Index,SX5E Index,TYVIX Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,TY1 Comdty,SPJGBV Index,JB1 Comdty,SRVIX Index,USFS0110 CMPN Curncy,SPX Index,SX5E Index,IEF Equity,AGG Equity,HYG Equity,LQD Equity,IHYG EU Equity,TY1 Comdty,JB1 Comdty
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,TOT_RETURN_INDEX_GROSS_DVDS,YLD_CNV_LAST,YLD_CNV_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-02,,,,,,,,,,,,,,209.59,,,,,,,92.6875,,,,,209.59,,,,,,,9.131,
1986-01-03,,,,,,,,,,,,,,210.88,,,,,,,92.6875,,,,,210.88,,,,,,,9.131,
1986-01-06,,,,,,,,,,,,,,210.65,,,,,,,92.59375,,99.91,,,210.65,,,,,,,9.146,6.014
1986-01-07,,,,,,,,,,,,,,213.8,,,,,,,93.4375,,99.66,,,213.8,,,,,,,9.009,6.054
1986-01-08,,,,,,,,,,,,,,207.97,,,,,,,92.25,,100.25,,,207.97,,,,,,,9.202,5.96
1986-01-09,,,,,,,,,,,,,,206.11,,,,,,,91.59375,,99.55,,,206.11,,,,,,,9.31,6.072
1986-01-10,,,,,,,,,,,,,,205.96,,,,,,,91.1875,,98.55,,,205.96,,,,,,,9.377,6.235
1986-01-13,,,,,,,,,,,,,,206.72,,,,,,,90.0625,,98.45,,,206.72,,,,,,,9.566,6.251
1986-01-14,,,,,,,,,,,,,,206.64,,,,,,,90.6875,,98.78,,,206.64,,,,,,,9.461,6.197
1986-01-15,,,,,,,,,,,,,,208.26,,,,,,,91.3125,,,,,208.26,,,,,,,9.356,
1986-01-16,,,,,,,,,,,,,,209.17,,,,,,,91.4375,,99.38,,,209.17,,,,,,,9.336,6.099
1986-01-17,,,,,,,,,,,,,,208.43,,,,,,,91.75,,99.35,,,208.43,,,,,,,9.284,6.104
1986-01-20,,,,,,,,,,,,,,207.53,,,,,,,91.6875,,98.0,,,207.53,,,,,,,9.294,6.326
1986-01-21,,,,,,,,,,,,,,205.79,,,,,,,91.84375,,98.55,,,205.79,,,,,,,9.269,6.235
1986-01-22,,,,,,,,,,,,,,203.49,,,,,,,91.53125,,98.54,,,203.49,,,,,,,9.32,6.237
1986-01-23,,,,,,,,,,,,,,204.25,,,,,,,91.84375,,98.65,,,204.25,,,,,,,9.269,6.218
1986-01-24,,,,,,,,,,,,,,206.43,,,,,,,91.875,,98.74,,,206.43,,,,,,,9.264,6.204
1986-01-27,,,,,,,,,,,,,,207.39,,,,,,,92.625,,100.02,,,207.39,,,,,,,9.141,5.996
1986-01-28,,,,,,,,,,,,,,209.81,,,,,,,93.1875,,99.65,,,209.81,,,,,,,9.05,6.056
1986-01-29,,,,,,,,,,,,,,210.29,,,,,,,92.84375,,100.0,,,210.29,,,,,,,9.105,6.0
1986-01-30,,,,,,,,,,,,,,209.33,,,,,,,92.8125,,100.0,,,209.33,,,,,,,9.11,6.0
1986-01-31,,,,,,,,,,,,,,211.78,,,,,,,93.0,,100.28,,,212.46,,,,,,,9.08,5.955
1986-02-03,,,,,,,,,,,,,,213.96,,,,,,,93.4375,,100.45,,,214.647,,,,,,,9.009,5.928
1986-02-04,,,,,,,,,,,,,,212.79,,,,,,,93.875,,100.38,,,213.4732,,,,,,,8.939,5.939
1986-02-05,,,,,,,,,,,,,,212.96,,,,,,,93.34375,,100.2,,,213.6438,,,,,,,9.025,5.968
1986-02-06,,,,,,,,,,,,,,213.47,,,,,,,93.0,,100.3,,,214.1554,,,,,,,9.08,5.952
1986-02-07,,,,,,,,,,,,,,214.56,,,,,,,92.46875,,100.08,,,215.2489,,,,,,,9.166,5.987
1986-02-10,,,,,,,,,,,,,,216.24,,,,,,,93.125,,99.95,,,216.9343,,,,,,,9.06,6.008
1986-02-11,,,,,,,,,,,,,,215.92,,,,,,,93.71875,,,,,216.6133,,,,,,,8.964,
1986-02-12,,,,,,,,,,,,,,215.97,,,,,,,93.8125,,100.23,,,216.6635,,,,,,,8.949,5.963
1986-02-13,,,,,,,,,,,,,,217.4,,,,,,,94.25,,100.09,,,218.098,,,,,,,8.879,5.985
1986-02-14,,,,,,,,,,,,,,219.76,,,,,,,95.3125,,100.26,,,220.4656,,,,,,,8.712,5.958
1986-02-17,,,,,,,,,,,,,,,,,,,,,,,101.16,,,,,,,,,,,5.816
1986-02-18,,,,,,,,,,,,,,222.45,,,,,,,95.5,,101.45,,,223.1643,,,,,,,8.682,5.771
1986-02-19,,,,,,,,,,,,,,219.76,,,,,,,95.0,,101.4,,,220.4656,,,,,,,8.761,5.779
1986-02-20,,,,,,,,,,,,,,222.22,,,,,,,95.3125,,101.66,,,222.9335,,,,,,,8.712,5.7379999999999995
1986-02-21,,,,,,,,,,,,,,224.62,,,,,,,96.5,,101.6,,,225.3412,,,,,,,8.527,5.748
1986-02-24,,,,,,,,,,,,,,224.34,,,,,,,97.25,,102.12,,,225.0603,,,,,,,8.412,5.667
1986-02-25,,,,,,,,,,,,,,223.79,,,,,,,97.0,,102.18,,,224.5086,,,,,,,8.45,5.658
1986-02-26,,,,,,,,,,,,,,224.04,,,,,,,97.375,,102.3,,,224.7594,,,,,,,8.393,5.64
1986-02-27,,,,,,,,,,,,,,226.77,,,,,,,98.71875,,103.0,,,227.4981,,,,,,,8.19,5.533
1986-02-28,,,,,,,,,,,,,,226.92,,,,,,,98.90625,,103.04,,,228.3408,,,,,,,8.162,5.527
1986-03-03,,,,,,,,,,,,,,225.42,,,,,,,99.6875,,103.1,,,226.8314,,,,,,,8.046,5.518
1986-03-04,,,,,,,,,,,,,,224.38,,,,,,,100.03125,,103.3,,,225.7849,,,,,,,7.995,5.4879999999999995
1986-03-05,,,,,,,,,,,,,,224.34,,,,,,,98.53125,,103.3,,,225.7447,,,,,,,8.218,5.4879999999999995
1986-03-06,,,,,,,,,,,,,,225.13,,,,,,,99.09375,,103.61,,,226.5396,,,,,,,8.134,5.442
1986-03-07,,,,,,,,,,,,,,225.57,,,,,,,99.625,,103.65,,,226.9824,,,,,,,8.055,5.436
1986-03-10,,,,,,,,,,,,,,226.58,,,,,,,100.90625,,103.56,,,227.9987,,,,,,,7.867,5.449
1986-03-11,,,,,,,,,,,,,,231.69,,,,,,,101.09375,,103.94,,,233.1407,,,,,,,7.84,5.393
1986-03-12,,,,,,,,,,,,,,232.54,,,,,,,101.28125,,104.25,,,233.996,,,,,,,7.813,5.3469999999999995
1986-03-13,,,,,,,,,,,,,,233.19,,,,,,,100.84375,,104.25,,,234.6501,,,,,,,7.877,5.3469999999999995
1986-03-14,,,,,,,,,,,,,,236.55,,,,,,,101.15625,,104.07,,,238.0311,,,,,,,7.8309999999999995,5.374
1986-03-17,,,,,,,,,,,,,,234.67,,,,,,,100.875,,104.82,,,236.1394,,,,,,,7.872,5.264
1986-03-18,,,,,,,,,,,,,,235.78,,,,,,,100.28125,,104.65,,,237.2563,,,,,,,7.959,5.289
1986-03-19,,,,,,,,,,,,,,235.6,,,,,,,100.5,,103.95,,,237.0752,,,,,,,7.927,5.392
1986-03-20,,,,,,,,,,,,,,236.54,,,,,,,100.21875,,104.69,,,238.0211,,,,,,,7.968,5.283
1986-03-21,,,,,,,,,,,,,,233.34,,,,,,,99.75,,,,,234.801,,,,,,,8.037,
1986-03-24,,,,,,,,,,,,,,235.33,,,,,,,100.65625,,105.56,,,236.8035,,,,,,,7.904,5.157
1986-03-25,,,,,,,,,,,,,,234.72,,,,,,,100.6875,,105.23,,,236.1897,,,,,,,7.899,5.204
1986-03-26,,,,,,,,,,,,,,237.3,,,,,,,101.21875,,105.5,,,238.7858,,,,,,,7.822,5.165
1986-03-27,,,,,,,,,,,,,,238.97,,,,,,,102.03125,,105.8,,,240.4663,,,,,,,7.705,5.122
1986-03-28,,,,,,,,,,,,,,,,,,,,,,,105.71,,,,,,,,,,,5.135
1986-03-31,,,,,,,,,,,,,,238.9,,,,,,,102.75,,105.77,,,241.0801,,,,,,,7.602,5.127
1986-04-01,,,,,,,,,,,,,,235.14,,,,,,,102.6875,,105.4,,,237.2858,,,,,,,7.611,5.18
1986-04-02,,,,,,,,,,,,,,235.71,,,,,,,102.84375,,105.3,,,237.861,,,,,,,7.589,5.194
1986-04-03,,,,,,,,,,,,,,232.47,,,,,,,102.25,,105.15,,,234.5914,,,,,,,7.674,5.216
1986-04-04,,,,,,,,,,,,,,228.69,,,,,,,101.78125,,104.15,,,230.7769,,,,,,,7.741,5.362
1986-04-07,,,,,,,,,,,,,,228.63,,,,,,,101.78125,,103.91,,,230.7164,,,,,,,7.741,5.397
1986-04-08,,,,,,,,,,,,,,233.52,,,,,,,103.15625,,103.58,,,235.651,,,,,,,7.545,5.446
1986-04-09,,,,,,,,,,,,,,233.75,,,,,,,103.5625,,103.33,,,235.8831,,,,,,,7.4879999999999995,5.484
1986-04-10,,,,,,,,,,,,,,236.44,,,,,,,103.46875,,103.04,,,238.5976,,,,,,,7.501,5.527
1986-04-11,,,,,,,,,,,,,,235.97,,,,,,,103.0,,103.47,,,238.1234,,,,,,,7.567,5.463
1986-04-14,,,,,,,,,,,,,,237.28,,,,,,,103.84375,,103.3,,,239.4453,,,,,,,7.448,5.4879999999999995
1986-04-15,,,,,,,,,,,,,,237.73,,,,,,,103.4375,,102.92,,,239.8994,,,,,,,7.505,5.546
1986-04-16,,,,,,,,,,,,,,242.22,,,,,,,105.125,,103.4,,,244.4304,,,,,,,7.27,5.473
1986-04-17,,,,,,,,,,,,,,243.03,,,,,,,104.53125,,103.82,,,245.2478,,,,,,,7.352,5.411
1986-04-18,,,,,,,,,,,,,,242.38,,,,,,,104.0,,104.45,,,244.5919,,,,,,,7.426,5.318
1986-04-21,,,,,,,,,,,,,,244.74,,,,,,,104.0625,,105.24,,,246.9734,,,,,,,7.417,5.203
1986-04-22,,,,,,,,,,,,,,242.42,,,,,,,102.59375,,104.9,,,244.6322,,,,,,,7.625,5.252
1986-04-23,,,,,,,,,,,,,,241.75,,,,,,,101.75,,104.85,,,243.9561,,,,,,,7.745,5.259
1986-04-24,,,,,,,,,,,,,,242.02,,,,,,,101.03125,,105.03,,,244.2286,,,,,,,7.849,5.233
